date,close,neg,neu,pos,compound
2021-03-31,235.770004,0.038,0.694,0.268,0.8074
2021-04-01,242.350006,0.0,0.696,0.304,0.9153
2021-04-05,249.07000699999998,0.038,0.694,0.268,0.8074
2021-04-06,247.86000099999998,0.038,0.694,0.268,0.8074
2021-04-07,249.899994,0.038,0.694,0.268,0.8074
2021-04-08,253.25,0.038,0.694,0.268,0.8074
2021-04-09,255.850006,0.0,0.696,0.304,0.9153
2021-04-12,255.91000400000001,0.0,0.696,0.304,0.9153
2021-04-13,258.48999,0.0,0.696,0.304,0.9153
2021-04-14,255.58999599999999,0.0,0.696,0.304,0.9153
2021-04-15,259.5,0.0,0.696,0.304,0.9153
2021-04-16,260.73999,0.0,0.696,0.304,0.9153
2021-04-19,258.73999,0.0,0.696,0.304,0.9153
2021-04-20,258.26001,0.0,0.696,0.304,0.9153
2021-04-21,260.579987,0.0,0.696,0.304,0.9153
2021-04-22,257.170013,0.0,0.696,0.304,0.9153
