date,close,neg,neu,pos,compound
2021-04-07,249.899994,0.0,0.903,0.097,0.4588
2021-04-08,253.25,0.068,0.621,0.311,0.8225
2021-04-09,255.850006,0.068,0.621,0.311,0.8225
2021-04-12,255.91000400000001,0.177,0.823,0.0,-0.7003
2021-04-13,258.48999,0.177,0.823,0.0,-0.7003
2021-04-14,255.58999599999999,0.177,0.823,0.0,-0.7003
2021-04-15,259.5,0.0,0.903,0.097,0.4215
2021-04-16,260.73999,0.0,0.906,0.094,0.4019
2021-04-19,258.73999,0.0,0.906,0.094,0.4019
2021-04-20,258.26001,0.177,0.823,0.0,-0.7003
2021-04-21,260.579987,0.177,0.823,0.0,-0.7003
2021-04-22,257.170013,0.0,0.906,0.094,0.4019
2021-04-23,261.149994,0.177,0.823,0.0,-0.7003
2021-04-26,261.549988,0.177,0.823,0.0,-0.7003
2021-04-27,261.97000099999997,0.0,0.903,0.097,0.4215
2021-04-28,254.559998,0.0,0.906,0.094,0.4019
2021-04-29,252.50999500000003,0.0,0.903,0.097,0.4215
2021-04-30,252.17999300000002,0.0,0.903,0.097,0.4215
2021-05-03,251.86000099999998,0.0,0.903,0.097,0.4215
2021-05-04,247.789993,0.0,0.903,0.097,0.4215
2021-05-05,246.47000099999997,0.068,0.621,0.311,0.8225
2021-05-06,249.729996,0.0,0.903,0.097,0.4588
