date,close,volume,neg,neu,pos,compound
2021-03-10,232.419998,29733000,0.091,0.767,0.142,0.1779
2021-03-11,237.130005,29896000,0.085,0.826,0.088,0.0258
2021-03-12,235.75,22647900,0.091,0.767,0.142,0.1779
2021-03-15,234.809998,26034900,0.085,0.826,0.088,0.0258
2021-03-16,237.710007,27717700,0.091,0.767,0.142,0.1779
2021-03-17,237.039993,29500700,0.091,0.767,0.142,0.1779
2021-03-18,230.720001,34833000,0.091,0.767,0.142,0.1779
2021-03-19,230.350006,46410700,0.085,0.826,0.088,0.0258
2021-03-22,235.990005,30127000,0.091,0.767,0.142,0.1779
2021-03-23,237.580002,31638400,0.091,0.767,0.142,0.1779
2021-03-24,235.460007,25620100,0.085,0.826,0.088,0.0258
2021-03-25,232.339996,34061900,0,0.628,0.372,0.9451
2021-03-26,236.479996,25471700,0.085,0.826,0.088,0.0258
2021-03-29,235.240005,25227500,0,0.628,0.372,0.9451
2021-03-30,231.850006,24792000,0.38,0.509,0.112,-0.9493
2021-03-31,235.770004,43623500,0.085,0.826,0.088,0.0258
2021-04-01,242.350006,30312000,0.085,0.826,0.088,0.0258
2021-04-05,249.070007,36910600,0.085,0.826,0.088,0.0258
2021-04-06,247.860001,22931900,0.085,0.826,0.088,0.0258
2021-04-07,249.899994,22719800,0.085,0.826,0.088,0.0258
2021-04-08,253.25,23625200,0.085,0.826,0.088,0.0258
2021-04-09,255.850006,24315700,0.085,0.826,0.088,0.0258
