date,close,neg,neu,pos,compound
2021-03-10,232.419998,0.101,0.787,0.11,0.0305
2021-03-11,237.130005,0.097,0.786,0.116,0.0607
2021-03-12,235.75,0.106,0.785,0.108,0.0084
2021-03-15,234.809998,0.105,0.779,0.114,0.0289
2021-03-16,237.710007,0.105,0.78,0.114,0.0295
2021-03-17,237.039993,0.104,0.77,0.124,0.064
2021-03-18,230.720001,0.107,0.772,0.119,0.0373
2021-03-19,230.350006,0.112,0.771,0.116,0.0127
2021-03-22,235.990005,0.109,0.775,0.115,0.0308
2021-03-23,237.580002,0.109,0.773,0.116,0.0296
2021-03-24,235.460007,0.109,0.779,0.111,0.006
2021-03-25,232.339996,0.1,0.79,0.109,0.026
2021-03-26,236.479996,0.117,0.776,0.105,-0.0438
2021-03-29,235.240005,0.118,0.773,0.107,-0.0367
2021-03-30,231.850006,0.112,0.776,0.111,-0.0034
2021-03-31,235.770004,0.117,0.771,0.111,-0.0247
2021-04-01,242.350006,0.11,0.783,0.105,-0.0193
2021-04-05,249.070007,0.105,0.78,0.114,0.0259
2021-04-06,247.860001,0.114,0.779,0.105,-0.0312
2021-04-07,249.899994,0.105,0.781,0.112,0.0208
2021-04-08,253.25,0.1,0.788,0.11,0.0251
2021-04-09,255.850006,0.103,0.785,0.111,0.0258
